Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
CHIS-1106,Channel Islands National Park,Bird,Charadriiformes,Charadriidae,Charadrius montanus,Mountain Plover,Approved,Present,Native,Rare,Migratory,
CHIS-1107,Channel Islands National Park,Bird,Charadriiformes,Charadriidae,Charadrius semipalmatus,Semipalmated Plover,Approved,Present,Native,Rare,Vagrant,
CHIS-1108,Channel Islands National Park,Bird,Charadriiformes,Charadriidae,Charadrius vociferus,Killdeer,Approved,Present,Native,Rare,Vagrant,
CHIS-1109,Channel Islands National Park,Bird,Charadriiformes,Charadriidae,Pluvialis dominica,Lesser Golden-Plover,Approved,Present,Native,Rare,Migratory,
CHIS-1110,Channel Islands National Park,Bird,Charadriiformes,Charadriidae,Pluvialis squatarola,Black-Bellied Plover,Approved,Present,Native,Abundant,Migratory,
CHIS-1111,Channel Islands National Park,Bird,Charadriiformes,Haematopodidae,Haematopus bachmani,Black Oystercatcher,Approved,Present,Native,Rare,Breeder,Species of Concern
CHIS-1112,Channel Islands National Park,Bird,Charadriiformes,Haematopodidae,Haematopus palliatus,American Oystercatcher,Approved,Present,Native,Occasional,Breeder,Species of Concern
CHIS-1113,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus argentatus,Herring Gull,Approved,Present,Native,Uncommon,Migratory,
CHIS-1114,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus atricilla,Laughing Gull,Approved,Present,Native,Occasional,Vagrant,Species of Concern
CHIS-1115,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus californicus,California Gull,Approved,Present,Native,Common,Migratory,
CHIS-1116,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus canus,Mew Gull,Approved,Present,Native,Common,Migratory,
CHIS-1117,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus delawarensis,Ring-Billed Gull,Approved,Present,Native,Occasional,Vagrant,
CHIS-1118,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus glaucescens,Glaucous-Winged Gull,Approved,Present,Native,Common,Migratory,
CHIS-1119,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus heermanni,Heermann's Gull,Approved,Present,Native,Abundant,Migratory,
